Step,AgentID,physiological,safety,belonging,esteem,wealth,actions,status
17,2,"[0.7772860895000002, 0.95, 1.0, 0.9975024987503127]","[1.0, 0.993, 0.997, 0.9558027427459509]","[1.0, 0.85, 0.6765633666000002]","[1.0, 0.99, 0.33587398163446913]",1684.0,go_leisure,student
17,3,"[1.0, 0.9025, 1.0, 1.0]","[1.0, 0.982081, 0.990025, 1.0]","[1.0, 0.7569, 0.9603999999999999]","[1.0, 0.9801, 0.9409]",1917.1666666666667,go_home,unemployed
17,4,"[0.9269999999999999, 1.0, 1.0, 0.9993]","[1.0, 1.0, 1.0, 0.998]","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]",4458.358333333333,go_home,employed
18,0,"[0.7263410156249999, 1.0, 1.0, 0.681472]","[1.0, 1.0, 1.0, 0.994011992]","[0.6658000000000001, 1.0, 1.0]","[1.0, 1.0, 1.0]",823.05,go_home,retired
18,1,"[1.0, 0.9, 1.0, 1.0]","[1.0, 0.999, 0.99, 1.0]","[1.0, 0.995, 0.98]","[1.0, 0.99, 0.99]",482.0,go_grocery,homeless
18,2,"[0.7772860895000002, 0.95, 1.0, 0.9975024987503127]","[1.0, 0.993, 0.997, 0.9558027427459509]","[1.0, 0.85, 0.6765633666000002]","[1.0, 0.99, 0.33587398163446913]",1684.0,go_leisure,student
18,3,"[1.0, 0.9025, 1.0, 1.0]","[1.0, 0.982081, 0.990025, 1.0]","[1.0, 0.7569, 0.9603999999999999]","[1.0, 0.9801, 0.9409]",1917.1666666666667,go_home,unemployed
18,4,"[0.9269999999999999, 1.0, 1.0, 0.9993]","[1.0, 1.0, 1.0, 0.998]","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]",4458.358333333333,go_home,employed
19,0,"[0.7263410156249999, 1.0, 1.0, 0.681472]","[1.0, 1.0, 1.0, 0.994011992]","[0.6658000000000001, 1.0, 1.0]","[1.0, 1.0, 1.0]",823.05,go_home,retired
19,1,"[1.0, 0.9, 1.0, 1.0]","[1.0, 0.999, 0.99, 1.0]","[1.0, 0.995, 0.98]","[1.0, 0.99, 0.99]",482.0,go_grocery,homeless
19,2,"[0.7772860895000002, 0.95, 1.0, 0.9975024987503127]","[1.0, 0.993, 0.997, 0.9558027427459509]","[1.0, 0.85, 0.6765633666000002]","[1.0, 0.99, 0.33587398163446913]",1684.0,go_leisure,student
19,3,"[1.0, 0.9025, 1.0, 1.0]","[1.0, 0.982081, 0.990025, 1.0]","[1.0, 0.7569, 0.9603999999999999]","[1.0, 0.9801, 0.9409]",1917.1666666666667,go_home,unemployed
19,4,"[0.9269999999999999, 1.0, 1.0, 0.9993]","[1.0, 1.0, 1.0, 0.998]","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]",4458.358333333333,go_home,employed
20,0,"[0.7263410156249999, 1.0, 1.0, 0.681472]","[1.0, 1.0, 1.0, 0.994011992]","[0.6658000000000001, 1.0, 1.0]","[1.0, 1.0, 1.0]",823.05,go_home,retired
20,1,"[1.0, 0.9, 1.0, 1.0]","[1.0, 0.999, 0.99, 1.0]","[1.0, 0.995, 0.98]","[1.0, 0.99, 0.99]",482.0,go_grocery,homeless
20,2,"[0.7772860895000002, 0.95, 1.0, 0.9975024987503127]","[1.0, 0.993, 0.997, 0.9558027427459509]","[1.0, 0.85, 0.6765633666000002]","[1.0, 0.99, 0.33587398163446913]",1684.0,go_leisure,student
20,3,"[1.0, 0.9025, 1.0, 1.0]","[1.0, 0.982081, 0.990025, 1.0]","[1.0, 0.7569, 0.9603999999999999]","[1.0, 0.9801, 0.9409]",1917.1666666666667,go_home,unemployed
20,4,"[0.9269999999999999, 1.0, 1.0, 0.9993]","[1.0, 1.0, 1.0, 0.998]","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]",4458.358333333333,go_home,employed
21,0,"[0.7263410156249999, 1.0, 1.0, 0.681472]","[1.0, 1.0, 1.0, 0.994011992]","[0.6658000000000001, 1.0, 1.0]","[1.0, 1.0, 1.0]",823.05,go_home,retired
21,1,"[1.0, 0.9, 1.0, 1.0]","[1.0, 0.999, 0.99, 1.0]","[1.0, 0.995, 0.98]","[1.0, 0.99, 0.99]",482.0,go_grocery,homeless
21,2,"[0.7772860895000002, 0.95, 1.0, 0.9975024987503127]","[1.0, 0.993, 0.997, 0.9558027427459509]","[1.0, 0.85, 0.6765633666000002]","[1.0, 0.99, 0.33587398163446913]",1684.0,go_leisure,student
21,3,"[1.0, 0.9025, 1.0, 1.0]","[1.0, 0.982081, 0.990025, 1.0]","[1.0, 0.7569, 0.9603999999999999]","[1.0, 0.9801, 0.9409]",1917.1666666666667,go_home,unemployed
21,4,"[0.9269999999999999, 1.0, 1.0, 0.9993]","[1.0, 1.0, 1.0, 0.998]","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]",4458.358333333333,go_home,employed
22,0,"[0.7263410156249999, 1.0, 1.0, 0.681472]","[1.0, 1.0, 1.0, 0.994011992]","[0.6658000000000001, 1.0, 1.0]","[1.0, 1.0, 1.0]",823.05,go_home,retired
22,1,"[1.0, 0.9, 1.0, 1.0]","[1.0, 0.999, 0.99, 1.0]","[1.0, 0.995, 0.98]","[1.0, 0.99, 0.99]",482.0,go_grocery,homeless
22,2,"[0.7772860895000002, 0.95, 1.0, 0.9975024987503127]","[1.0, 0.993, 0.997, 0.9558027427459509]","[1.0, 0.85, 0.6765633666000002]","[1.0, 0.99, 0.33587398163446913]",1684.0,go_leisure,student
22,3,"[1.0, 0.9025, 1.0, 1.0]","[1.0, 0.982081, 0.990025, 1.0]","[1.0, 0.7569, 0.9603999999999999]","[1.0, 0.9801, 0.9409]",1917.1666666666667,go_home,unemployed
22,4,"[0.9269999999999999, 1.0, 1.0, 0.9993]","[1.0, 1.0, 1.0, 0.998]","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]",4458.358333333333,go_home,employed
23,0,"[0.7263410156249999, 1.0, 1.0, 0.681472]","[1.0, 1.0, 1.0, 0.994011992]","[0.6658000000000001, 1.0, 1.0]","[1.0, 1.0, 1.0]",823.05,go_home,retired
23,1,"[1.0, 0.9, 1.0, 1.0]","[1.0, 0.999, 0.99, 1.0]","[1.0, 0.995, 0.98]","[1.0, 0.99, 0.99]",482.0,go_grocery,homeless
23,2,"[0.7772860895000002, 0.95, 1.0, 0.9975024987503127]","[1.0, 0.993, 0.997, 0.9558027427459509]","[1.0, 0.85, 0.6765633666000002]","[1.0, 0.99, 0.33587398163446913]",1684.0,go_leisure,student
23,3,"[1.0, 0.9025, 1.0, 1.0]","[1.0, 0.982081, 0.990025, 1.0]","[1.0, 0.7569, 0.9603999999999999]","[1.0, 0.9801, 0.9409]",1917.1666666666667,go_home,unemployed
23,4,"[0.9269999999999999, 1.0, 1.0, 0.9993]","[1.0, 1.0, 1.0, 0.998]","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]",4458.358333333333,go_home,employed
24,0,"[0.7263410156249999, 1.0, 1.0, 0.681472]","[1.0, 1.0, 1.0, 0.994011992]","[0.6658000000000001, 1.0, 1.0]","[1.0, 1.0, 1.0]",823.05,go_home,retired
24,1,"[1.0, 0.9, 0.9, 1.0]","[1.0, 0.999, 0.99, 1.0]","[1.0, 0.995, 0.98]","[1.0, 0.99, 0.99]",482.0,go_grocery,homeless
24,2,"[0.7772860895000002, 0.95, 1.0, 0.9975024987503127]","[1.0, 0.993, 0.997, 0.9558027427459509]","[1.0, 0.85, 0.6765633666000002]","[1.0, 0.99, 0.33587398163446913]",1684.0,go_leisure,student
24,3,"[1.0, 0.9025, 0.9, 1.0]","[1.0, 0.982081, 0.990025, 1.0]","[1.0, 0.7569, 0.9603999999999999]","[1.0, 0.9801, 0.9409]",1917.1666666666667,go_home,unemployed
24,4,"[0.9269999999999999, 1.0, 0.9, 0.9993]","[1.0, 1.0, 1.0, 0.998]","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]",4458.358333333333,go_home,employed
25,0,"[0.7263410156249999, 1.0, 1.0, 0.681472]","[1.0, 1.0, 1.0, 0.994011992]","[0.6658000000000001, 1.0, 1.0]","[1.0, 1.0, 1.0]",823.05,go_home,retired
25,1,"[1.0, 0.9, 0.9, 1.0]","[1.0, 0.999, 0.99, 1.0]","[1.0, 0.995, 0.98]","[1.0, 0.99, 0.99]",482.0,go_grocery,homeless
25,2,"[0.7772860895000002, 0.95, 1.0, 0.9975024987503127]","[1.0, 0.993, 0.997, 1.0]","[1.0, 0.85, 0.6765633666000002]","[1.0, 0.99, 0.33587398163446913]",1684.0,go_leisure,student
25,3,"[1.0, 0.9025, 0.9, 1.0]","[1.0, 0.982081, 0.990025, 1.0]","[1.0, 0.7569, 0.9603999999999999]","[1.0, 0.9801, 0.9409]",1917.1666666666667,go_home,unemployed
